Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
45.00,5.15,5.05,5.10,5.15,8,23,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
45.50,,4.55,4.60,4.65,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
46.00,,4.05,4.10,4.15,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
46.50,,3.50,3.58,3.65,0,16,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
47.00,3.0,3.05,3.10,3.15,6,19,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
47.50,,2.58,2.62,2.65,0,75,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
48.00,1.69,2.11,2.14,2.17,6,85,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
48.50,1.54,1.66,1.69,1.71,31,158,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,50.16
49.00,1.12,1.24,1.26,1.27,251,1794,0.20850000000000002,0.95,0.1375,-0.03,0.00,Call,2025-04-25,50.16
49.50,0.77,0.87,0.88,0.88,396,1945,0.2737,0.77,0.2979,-0.08,0.01,Call,2025-04-25,50.16
50.00,0.55,0.54,0.55,0.56,2889,1674,0.284,0.59,0.3674,-0.11,0.01,Call,2025-04-25,50.16
50.50,0.3,0.31,0.32,0.32,850,4003,0.2914,0.41,0.3586,-0.11,0.01,Call,2025-04-25,50.16
51.00,0.15,0.15,0.16,0.16,499,4436,0.29,0.25,0.2915,-0.09,0.01,Call,2025-04-25,50.16
51.50,0.06,0.06,0.07,0.07,3501,6089,0.2874,0.12,0.1915,-0.06,0.01,Call,2025-04-25,50.16
52.00,0.03,0.02,0.03,0.03,136,10662,0.2896,0.06,0.1035,-0.03,0.00,Call,2025-04-25,50.16
52.50,0.01,0.00,0.01,0.01,6,5011,0.2703,0.01,0.0360,-0.01,0.00,Call,2025-04-25,50.16
53.00,,0.00,0.01,0.01,0,43,0.3197,0.01,0.0267,-0.01,0.00,Call,2025-04-25,50.16
53.50,,0.00,0.01,0.01,0,15,0.3677,0.01,0.0208,-0.01,0.00,Call,2025-04-25,50.16
54.00,0.01,0.00,0.01,0.01,1,5,0.41450000000000004,0.01,0.0168,-0.01,0.00,Call,2025-04-25,50.16
54.50,,0.00,0.01,0.01,0,0,0.4603,0.01,0.0140,-0.01,0.00,Call,2025-04-25,50.16
55.00,,0.00,0.01,0.01,0,33,0.5051,0.01,0.0118,-0.01,0.00,Call,2025-04-25,50.16
55.50,,0.00,0.01,0.01,0,2,0.5489999999999999,0.01,0.0102,-0.01,0.00,Call,2025-04-25,50.16
56.00,,0.00,0.01,0.01,0,16,0.5922,0.01,0.0089,-0.01,0.00,Call,2025-04-25,50.16
56.50,,0.00,0.01,0.01,0,0,0.6345000000000001,0.01,0.0079,-0.01,0.00,Call,2025-04-25,50.16
57.00,,0.00,0.01,0.01,0,0,0.6762,0.01,0.0070,-0.01,0.00,Call,2025-04-25,50.16
58.00,,0.00,0.01,0.01,0,0,0.7576,0.01,0.0057,-0.01,0.00,Call,2025-04-25,50.16
59.00,,0.00,0.01,0.01,0,0,0.8367,0.01,0.0048,-0.01,0.00,Call,2025-04-25,50.16
60.00,,0.00,0.01,0.01,0,0,0.9135,0.00,0.0041,-0.01,0.00,Call,2025-04-25,50.16
65.00,,0.00,0.01,0.01,0,0,1.2704,0.00,0.0023,-0.01,0.00,Call,2025-04-25,50.16
30.00,,0.00,0.01,0.01,0,0,2.4685,0.00,0.0006,-0.01,0.00,Put,2025-04-25,50.16
35.00,,0.00,0.01,0.01,0,1,1.7775,0.00,0.0012,-0.01,0.00,Put,2025-04-25,50.16
39.00,,0.00,0.01,0.01,0,0,1.2838,0.00,0.0021,-0.01,0.00,Put,2025-04-25,50.16
40.00,,0.00,0.01,0.01,0,68,1.1667,0.00,0.0025,-0.01,0.00,Put,2025-04-25,50.16
41.00,,0.00,0.01,0.01,0,26,1.0517,0.00,0.0031,-0.01,0.00,Put,2025-04-25,50.16
42.00,,0.00,0.01,0.01,0,83,0.9384999999999999,0.00,0.0038,-0.01,0.00,Put,2025-04-25,50.16
43.00,,0.00,0.01,0.01,0,2314,0.8268000000000001,-0.01,0.0047,-0.01,0.00,Put,2025-04-25,50.16
44.00,,0.00,0.01,0.01,0,3567,0.7165,-0.01,0.0062,-0.01,0.00,Put,2025-04-25,50.16
45.00,0.01,0.00,0.01,0.01,26,1975,0.6073,-0.01,0.0083,-0.01,0.00,Put,2025-04-25,50.16
45.50,0.02,0.00,0.01,0.01,85,1312,0.5529,-0.01,0.0099,-0.01,0.00,Put,2025-04-25,50.16
46.00,0.01,0.00,0.01,0.01,12,1471,0.4985,-0.01,0.0119,-0.01,0.00,Put,2025-04-25,50.16
46.50,0.01,0.01,0.02,0.02,11,244,0.5178,-0.02,0.0260,-0.02,0.00,Put,2025-04-25,50.16
47.00,0.02,0.01,0.02,0.02,149,812,0.45640000000000003,-0.02,0.0325,-0.02,0.00,Put,2025-04-25,50.16
47.50,0.04,0.02,0.03,0.03,301,10602,0.43170000000000003,-0.04,0.0519,-0.03,0.00,Put,2025-04-25,50.16
48.00,0.07,0.04,0.05,0.05,7749,6072,0.4132,-0.07,0.0836,-0.05,0.00,Put,2025-04-25,50.16
48.50,0.1,0.08,0.08,0.09,1229,6538,0.40159999999999996,-0.12,0.1302,-0.07,0.01,Put,2025-04-25,50.16
49.00,0.16,0.15,0.16,0.16,4708,20859,0.39159999999999995,-0.19,0.1868,-0.10,0.01,Put,2025-04-25,50.16
49.50,0.28,0.26,0.27,0.27,217,4013,0.3791,-0.29,0.2444,-0.12,0.01,Put,2025-04-25,50.16
50.00,0.46,0.45,0.46,0.46,4829,1810,0.3826,-0.43,0.2758,-0.14,0.01,Put,2025-04-25,50.16
50.50,0.76,0.70,0.71,0.72,31,266,0.38299999999999995,-0.57,0.2761,-0.14,0.01,Put,2025-04-25,50.16
51.00,1.1,1.04,1.05,1.06,4,276,0.3968,-0.69,0.2389,-0.13,0.01,Put,2025-04-25,50.16
51.50,,1.40,1.45,1.50,0,164,0.418,-0.78,0.1884,-0.11,0.01,Put,2025-04-25,50.16
52.00,,1.90,1.94,1.97,0,64,0.49420000000000003,-0.82,0.1417,-0.11,0.01,Put,2025-04-25,50.16
52.50,2.48,2.30,2.39,2.47,2,0,0.5194,-0.87,0.1096,-0.10,0.01,Put,2025-04-25,50.16
53.00,2.98,2.82,2.89,2.96,2,20,0.6022,-0.88,0.0890,-0.11,0.01,Put,2025-04-25,50.16
53.50,,3.40,3.45,3.50,0,0,0.7551000000000001,-0.86,0.0778,-0.15,0.01,Put,2025-04-25,50.16
54.00,,3.90,4.08,4.25,0,0,0.9765,-0.83,0.0691,-0.22,0.01,Put,2025-04-25,50.16
54.50,,4.40,4.55,4.70,0,0,1.0276,-0.85,0.0613,-0.22,0.01,Put,2025-04-25,50.16
55.00,,4.90,5.05,5.20,0,0,1.1034,-0.86,0.0550,-0.23,0.01,Put,2025-04-25,50.16
55.50,,5.40,5.55,5.70,0,0,1.1771,-0.86,0.0498,-0.23,0.01,Put,2025-04-25,50.16
56.00,,5.90,6.05,6.20,0,0,1.2489,-0.87,0.0455,-0.24,0.01,Put,2025-04-25,50.16
56.50,,6.40,6.55,6.70,0,0,1.319,-0.88,0.0418,-0.25,0.01,Put,2025-04-25,50.16
57.00,,6.90,7.05,7.20,0,0,1.3874000000000002,-0.88,0.0386,-0.25,0.01,Put,2025-04-25,50.16
58.00,,7.90,8.05,8.20,0,0,1.52,-0.89,0.0335,-0.26,0.01,Put,2025-04-25,50.16
59.00,,8.90,8.95,9.00,0,0,1.4842,-0.92,0.0268,-0.20,0.01,Put,2025-04-25,50.16
60.00,,9.90,9.95,10.00,0,0,1.5997999999999999,-0.93,0.0238,-0.20,0.01,Put,2025-04-25,50.16
65.00,,14.90,14.95,15.00,0,0,2.1275999999999997,-0.94,0.0150,-0.23,0.00,Put,2025-04-25,50.16
30.00,,19.90,20.05,20.20,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-02,50.16
35.00,,15.00,15.10,15.20,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-02,50.16
39.00,,11.00,11.08,11.15,0,8,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-02,50.16
40.00,,10.00,10.08,10.15,0,2,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-02,50.16
41.00,,9.00,9.08,9.15,0,12,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-02,50.16
42.00,,8.00,8.08,8.15,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-02,50.16
43.00,,7.00,7.08,7.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
44.00,6.2,6.00,6.08,6.15,1,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
45.00,5.15,5.05,5.10,5.15,8,23,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
45.50,,4.55,4.60,4.65,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
46.00,,4.05,4.10,4.15,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
46.50,,3.50,3.58,3.65,0,16,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
47.00,3.0,3.05,3.10,3.15,6,19,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
47.50,,2.58,2.62,2.65,0,75,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
48.00,1.69,2.11,2.14,2.17,6,85,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
48.50,1.54,1.66,1.69,1.71,31,158,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,50.16
49.00,1.12,1.24,1.26,1.27,251,1794,0.20850000000000002,0.95,0.1375,-0.03,0.00,Call,2025-05-02,50.16
49.50,0.77,0.87,0.88,0.88,396,1945,0.2737,0.77,0.2979,-0.08,0.01,Call,2025-05-02,50.16
50.00,0.55,0.54,0.55,0.56,2889,1674,0.284,0.59,0.3674,-0.11,0.01,Call,2025-05-02,50.16
50.50,0.3,0.31,0.32,0.32,850,4003,0.2914,0.41,0.3586,-0.11,0.01,Call,2025-05-02,50.16
51.00,0.15,0.15,0.16,0.16,499,4436,0.29,0.25,0.2915,-0.09,0.01,Call,2025-05-02,50.16
51.50,0.06,0.06,0.07,0.07,3501,6089,0.2874,0.12,0.1915,-0.06,0.01,Call,2025-05-02,50.16
52.00,0.03,0.02,0.03,0.03,136,10662,0.2896,0.06,0.1035,-0.03,0.00,Call,2025-05-02,50.16
52.50,0.01,0.00,0.01,0.01,6,5011,0.2703,0.01,0.0360,-0.01,0.00,Call,2025-05-02,50.16
53.00,,0.00,0.01,0.01,0,43,0.3197,0.01,0.0267,-0.01,0.00,Call,2025-05-02,50.16
53.50,,0.00,0.01,0.01,0,15,0.3677,0.01,0.0208,-0.01,0.00,Call,2025-05-02,50.16
54.00,0.01,0.00,0.01,0.01,1,5,0.41450000000000004,0.01,0.0168,-0.01,0.00,Call,2025-05-02,50.16
54.50,,0.00,0.01,0.01,0,0,0.4603,0.01,0.0140,-0.01,0.00,Call,2025-05-02,50.16
55.00,,0.00,0.01,0.01,0,33,0.5051,0.01,0.0118,-0.01,0.00,Call,2025-05-02,50.16
55.50,,0.00,0.01,0.01,0,2,0.5489999999999999,0.01,0.0102,-0.01,0.00,Call,2025-05-02,50.16
56.00,,0.00,0.01,0.01,0,16,0.5922,0.01,0.0089,-0.01,0.00,Call,2025-05-02,50.16
56.50,,0.00,0.01,0.01,0,0,0.6345000000000001,0.01,0.0079,-0.01,0.00,Call,2025-05-02,50.16
57.00,,0.00,0.01,0.01,0,0,0.6762,0.01,0.0070,-0.01,0.00,Call,2025-05-02,50.16
58.00,,0.00,0.01,0.01,0,0,0.7576,0.01,0.0057,-0.01,0.00,Call,2025-05-02,50.16
59.00,,0.00,0.01,0.01,0,0,0.8367,0.01,0.0048,-0.01,0.00,Call,2025-05-02,50.16
60.00,,0.00,0.01,0.01,0,0,0.9135,0.00,0.0041,-0.01,0.00,Call,2025-05-02,50.16
65.00,,0.00,0.01,0.01,0,0,1.2704,0.00,0.0023,-0.01,0.00,Call,2025-05-02,50.16
30.00,,0.00,0.01,0.01,0,0,2.4685,0.00,0.0006,-0.01,0.00,Put,2025-05-02,50.16
35.00,,0.00,0.01,0.01,0,1,1.7775,0.00,0.0012,-0.01,0.00,Put,2025-05-02,50.16
39.00,,0.00,0.01,0.01,0,0,1.2838,0.00,0.0021,-0.01,0.00,Put,2025-05-02,50.16
40.00,,0.00,0.01,0.01,0,68,1.1667,0.00,0.0025,-0.01,0.00,Put,2025-05-02,50.16
41.00,,0.00,0.01,0.01,0,26,1.0517,0.00,0.0031,-0.01,0.00,Put,2025-05-02,50.16
42.00,,0.00,0.01,0.01,0,83,0.9384999999999999,0.00,0.0038,-0.01,0.00,Put,2025-05-02,50.16
43.00,,0.00,0.01,0.01,0,2314,0.8268000000000001,-0.01,0.0047,-0.01,0.00,Put,2025-05-02,50.16
44.00,,0.00,0.01,0.01,0,3567,0.7165,-0.01,0.0062,-0.01,0.00,Put,2025-05-02,50.16
45.00,0.01,0.00,0.01,0.01,26,1975,0.6073,-0.01,0.0083,-0.01,0.00,Put,2025-05-02,50.16
45.50,0.02,0.00,0.01,0.01,85,1312,0.5529,-0.01,0.0099,-0.01,0.00,Put,2025-05-02,50.16
46.00,0.01,0.00,0.01,0.01,12,1471,0.4985,-0.01,0.0119,-0.01,0.00,Put,2025-05-02,50.16
46.50,0.01,0.01,0.02,0.02,11,244,0.5178,-0.02,0.0260,-0.02,0.00,Put,2025-05-02,50.16
47.00,0.02,0.01,0.02,0.02,149,812,0.45640000000000003,-0.02,0.0325,-0.02,0.00,Put,2025-05-02,50.16
47.50,0.04,0.02,0.03,0.03,301,10602,0.43170000000000003,-0.04,0.0519,-0.03,0.00,Put,2025-05-02,50.16
48.00,0.07,0.04,0.05,0.05,7749,6072,0.4132,-0.07,0.0836,-0.05,0.00,Put,2025-05-02,50.16
48.50,0.1,0.08,0.08,0.09,1229,6538,0.40159999999999996,-0.12,0.1302,-0.07,0.01,Put,2025-05-02,50.16
49.00,0.16,0.15,0.16,0.16,4708,20859,0.39159999999999995,-0.19,0.1868,-0.10,0.01,Put,2025-05-02,50.16
49.50,0.28,0.26,0.27,0.27,217,4013,0.3791,-0.29,0.2444,-0.12,0.01,Put,2025-05-02,50.16
50.00,0.46,0.45,0.46,0.46,4829,1810,0.3826,-0.43,0.2758,-0.14,0.01,Put,2025-05-02,50.16
50.50,0.76,0.70,0.71,0.72,31,266,0.38299999999999995,-0.57,0.2761,-0.14,0.01,Put,2025-05-02,50.16
51.00,1.1,1.04,1.05,1.06,4,276,0.3968,-0.69,0.2389,-0.13,0.01,Put,2025-05-02,50.16
51.50,,1.40,1.45,1.50,0,164,0.418,-0.78,0.1884,-0.11,0.01,Put,2025-05-02,50.16
52.00,,1.90,1.94,1.97,0,64,0.49420000000000003,-0.82,0.1417,-0.11,0.01,Put,2025-05-02,50.16
52.50,2.48,2.30,2.39,2.47,2,0,0.5194,-0.87,0.1096,-0.10,0.01,Put,2025-05-02,50.16
53.00,2.98,2.82,2.89,2.96,2,20,0.6022,-0.88,0.0890,-0.11,0.01,Put,2025-05-02,50.16
53.50,,3.40,3.45,3.50,0,0,0.7551000000000001,-0.86,0.0778,-0.15,0.01,Put,2025-05-02,50.16
54.00,,3.90,4.08,4.25,0,0,0.9765,-0.83,0.0691,-0.22,0.01,Put,2025-05-02,50.16
54.50,,4.40,4.55,4.70,0,0,1.0276,-0.85,0.0613,-0.22,0.01,Put,2025-05-02,50.16
55.00,,4.90,5.05,5.20,0,0,1.1034,-0.86,0.0550,-0.23,0.01,Put,2025-05-02,50.16
55.50,,5.40,5.55,5.70,0,0,1.1771,-0.86,0.0498,-0.23,0.01,Put,2025-05-02,50.16
56.00,,5.90,6.05,6.20,0,0,1.2489,-0.87,0.0455,-0.24,0.01,Put,2025-05-02,50.16
56.50,,6.40,6.55,6.70,0,0,1.319,-0.88,0.0418,-0.25,0.01,Put,2025-05-02,50.16
57.00,,6.90,7.05,7.20,0,0,1.3874000000000002,-0.88,0.0386,-0.25,0.01,Put,2025-05-02,50.16
58.00,,7.90,8.05,8.20,0,0,1.52,-0.89,0.0335,-0.26,0.01,Put,2025-05-02,50.16
59.00,,8.90,8.95,9.00,0,0,1.4842,-0.92,0.0268,-0.20,0.01,Put,2025-05-02,50.16
60.00,,9.90,9.95,10.00,0,0,1.5997999999999999,-0.93,0.0238,-0.20,0.01,Put,2025-05-02,50.16
65.00,,14.90,14.95,15.00,0,0,2.1275999999999997,-0.94,0.0150,-0.23,0.00,Put,2025-05-02,50.16
30.00,,19.90,20.05,20.20,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-09,50.16
35.00,,15.00,15.10,15.20,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-09,50.16
39.00,,11.00,11.08,11.15,0,8,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-09,50.16
40.00,,10.00,10.08,10.15,0,2,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-09,50.16
41.00,,9.00,9.08,9.15,0,12,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-09,50.16
42.00,,8.00,8.08,8.15,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-09,50.16
43.00,,7.00,7.08,7.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
44.00,6.2,6.00,6.08,6.15,1,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
45.00,5.15,5.05,5.10,5.15,8,23,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
45.50,,4.55,4.60,4.65,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
46.00,,4.05,4.10,4.15,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
46.50,,3.50,3.58,3.65,0,16,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
47.00,3.0,3.05,3.10,3.15,6,19,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
47.50,,2.58,2.62,2.65,0,75,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
48.00,1.69,2.11,2.14,2.17,6,85,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
48.50,1.54,1.66,1.69,1.71,31,158,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-09,50.16
49.00,1.12,1.24,1.26,1.27,251,1794,0.20850000000000002,0.95,0.1375,-0.03,0.00,Call,2025-05-09,50.16
49.50,0.77,0.87,0.88,0.88,396,1945,0.2737,0.77,0.2979,-0.08,0.01,Call,2025-05-09,50.16
50.00,0.55,0.54,0.55,0.56,2889,1674,0.284,0.59,0.3674,-0.11,0.01,Call,2025-05-09,50.16
50.50,0.3,0.31,0.32,0.32,850,4003,0.2914,0.41,0.3586,-0.11,0.01,Call,2025-05-09,50.16
51.00,0.15,0.15,0.16,0.16,499,4436,0.29,0.25,0.2915,-0.09,0.01,Call,2025-05-09,50.16
51.50,0.06,0.06,0.07,0.07,3501,6089,0.2874,0.12,0.1915,-0.06,0.01,Call,2025-05-09,50.16
52.00,0.03,0.02,0.03,0.03,136,10662,0.2896,0.06,0.1035,-0.03,0.00,Call,2025-05-09,50.16
52.50,0.01,0.00,0.01,0.01,6,5011,0.2703,0.01,0.0360,-0.01,0.00,Call,2025-05-09,50.16
53.00,,0.00,0.01,0.01,0,43,0.3197,0.01,0.0267,-0.01,0.00,Call,2025-05-09,50.16
53.50,,0.00,0.01,0.01,0,15,0.3677,0.01,0.0208,-0.01,0.00,Call,2025-05-09,50.16
54.00,0.01,0.00,0.01,0.01,1,5,0.41450000000000004,0.01,0.0168,-0.01,0.00,Call,2025-05-09,50.16
54.50,,0.00,0.01,0.01,0,0,0.4603,0.01,0.0140,-0.01,0.00,Call,2025-05-09,50.16
55.00,,0.00,0.01,0.01,0,33,0.5051,0.01,0.0118,-0.01,0.00,Call,2025-05-09,50.16
55.50,,0.00,0.01,0.01,0,2,0.5489999999999999,0.01,0.0102,-0.01,0.00,Call,2025-05-09,50.16
56.00,,0.00,0.01,0.01,0,16,0.5922,0.01,0.0089,-0.01,0.00,Call,2025-05-09,50.16
56.50,,0.00,0.01,0.01,0,0,0.6345000000000001,0.01,0.0079,-0.01,0.00,Call,2025-05-09,50.16
57.00,,0.00,0.01,0.01,0,0,0.6762,0.01,0.0070,-0.01,0.00,Call,2025-05-09,50.16
58.00,,0.00,0.01,0.01,0,0,0.7576,0.01,0.0057,-0.01,0.00,Call,2025-05-09,50.16
59.00,,0.00,0.01,0.01,0,0,0.8367,0.01,0.0048,-0.01,0.00,Call,2025-05-09,50.16
60.00,,0.00,0.01,0.01,0,0,0.9135,0.00,0.0041,-0.01,0.00,Call,2025-05-09,50.16
65.00,,0.00,0.01,0.01,0,0,1.2704,0.00,0.0023,-0.01,0.00,Call,2025-05-09,50.16
30.00,,0.00,0.01,0.01,0,0,2.4685,0.00,0.0006,-0.01,0.00,Put,2025-05-09,50.16
35.00,,0.00,0.01,0.01,0,1,1.7775,0.00,0.0012,-0.01,0.00,Put,2025-05-09,50.16
39.00,,0.00,0.01,0.01,0,0,1.2838,0.00,0.0021,-0.01,0.00,Put,2025-05-09,50.16
40.00,,0.00,0.01,0.01,0,68,1.1667,0.00,0.0025,-0.01,0.00,Put,2025-05-09,50.16
41.00,,0.00,0.01,0.01,0,26,1.0517,0.00,0.0031,-0.01,0.00,Put,2025-05-09,50.16
42.00,,0.00,0.01,0.01,0,83,0.9384999999999999,0.00,0.0038,-0.01,0.00,Put,2025-05-09,50.16
43.00,,0.00,0.01,0.01,0,2314,0.8268000000000001,-0.01,0.0047,-0.01,0.00,Put,2025-05-09,50.16
44.00,,0.00,0.01,0.01,0,3567,0.7165,-0.01,0.0062,-0.01,0.00,Put,2025-05-09,50.16
45.00,0.01,0.00,0.01,0.01,26,1975,0.6073,-0.01,0.0083,-0.01,0.00,Put,2025-05-09,50.16
45.50,0.02,0.00,0.01,0.01,85,1312,0.5529,-0.01,0.0099,-0.01,0.00,Put,2025-05-09,50.16
46.00,0.01,0.00,0.01,0.01,12,1471,0.4985,-0.01,0.0119,-0.01,0.00,Put,2025-05-09,50.16
46.50,0.01,0.01,0.02,0.02,11,244,0.5178,-0.02,0.0260,-0.02,0.00,Put,2025-05-09,50.16
47.00,0.02,0.01,0.02,0.02,149,812,0.45640000000000003,-0.02,0.0325,-0.02,0.00,Put,2025-05-09,50.16
47.50,0.04,0.02,0.03,0.03,301,10602,0.43170000000000003,-0.04,0.0519,-0.03,0.00,Put,2025-05-09,50.16
48.00,0.07,0.04,0.05,0.05,7749,6072,0.4132,-0.07,0.0836,-0.05,0.00,Put,2025-05-09,50.16
48.50,0.1,0.08,0.08,0.09,1229,6538,0.40159999999999996,-0.12,0.1302,-0.07,0.01,Put,2025-05-09,50.16
49.00,0.16,0.15,0.16,0.16,4708,20859,0.39159999999999995,-0.19,0.1868,-0.10,0.01,Put,2025-05-09,50.16
49.50,0.28,0.26,0.27,0.27,217,4013,0.3791,-0.29,0.2444,-0.12,0.01,Put,2025-05-09,50.16
50.00,0.46,0.45,0.46,0.46,4829,1810,0.3826,-0.43,0.2758,-0.14,0.01,Put,2025-05-09,50.16
50.50,0.76,0.70,0.71,0.72,31,266,0.38299999999999995,-0.57,0.2761,-0.14,0.01,Put,2025-05-09,50.16
51.00,1.1,1.04,1.05,1.06,4,276,0.3968,-0.69,0.2389,-0.13,0.01,Put,2025-05-09,50.16
51.50,,1.40,1.45,1.50,0,164,0.418,-0.78,0.1884,-0.11,0.01,Put,2025-05-09,50.16
52.00,,1.90,1.94,1.97,0,64,0.49420000000000003,-0.82,0.1417,-0.11,0.01,Put,2025-05-09,50.16
52.50,2.48,2.30,2.39,2.47,2,0,0.5194,-0.87,0.1096,-0.10,0.01,Put,2025-05-09,50.16
53.00,2.98,2.82,2.89,2.96,2,20,0.6022,-0.88,0.0890,-0.11,0.01,Put,2025-05-09,50.16
53.50,,3.40,3.45,3.50,0,0,0.7551000000000001,-0.86,0.0778,-0.15,0.01,Put,2025-05-09,50.16
54.00,,3.90,4.08,4.25,0,0,0.9765,-0.83,0.0691,-0.22,0.01,Put,2025-05-09,50.16
54.50,,4.40,4.55,4.70,0,0,1.0276,-0.85,0.0613,-0.22,0.01,Put,2025-05-09,50.16
55.00,,4.90,5.05,5.20,0,0,1.1034,-0.86,0.0550,-0.23,0.01,Put,2025-05-09,50.16
55.50,,5.40,5.55,5.70,0,0,1.1771,-0.86,0.0498,-0.23,0.01,Put,2025-05-09,50.16
56.00,,5.90,6.05,6.20,0,0,1.2489,-0.87,0.0455,-0.24,0.01,Put,2025-05-09,50.16
56.50,,6.40,6.55,6.70,0,0,1.319,-0.88,0.0418,-0.25,0.01,Put,2025-05-09,50.16
57.00,,6.90,7.05,7.20,0,0,1.3874000000000002,-0.88,0.0386,-0.25,0.01,Put,2025-05-09,50.16
58.00,,7.90,8.05,8.20,0,0,1.52,-0.89,0.0335,-0.26,0.01,Put,2025-05-09,50.16
59.00,,8.90,8.95,9.00,0,0,1.4842,-0.92,0.0268,-0.20,0.01,Put,2025-05-09,50.16
60.00,,9.90,9.95,10.00,0,0,1.5997999999999999,-0.93,0.0238,-0.20,0.01,Put,2025-05-09,50.16
65.00,,14.90,14.95,15.00,0,0,2.1275999999999997,-0.94,0.0150,-0.23,0.00,Put,2025-05-09,50.16
34.00,,16.20,16.28,16.35,0,0,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-16,50.16
35.00,15.15,15.25,15.30,15.35,7,127,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-16,50.16
36.00,,14.20,14.27,14.35,0,379,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-16,50.16
37.00,,13.25,13.30,13.35,0,97,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-16,50.16
38.00,,12.25,12.33,12.40,0,175,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-16,50.16
39.00,,11.30,11.38,11.45,0,15,0.3325,0.99,0.0051,-0.01,0.01,Call,2025-05-16,50.16
40.00,,10.30,10.35,10.40,0,34,0.0,1.00,0.0000,0.00,0.00,Call,2025-05-16,50.16
41.00,,9.30,9.40,9.50,0,2,0.2954,0.98,0.0092,-0.01,0.01,Call,2025-05-16,50.16
42.00,,8.35,8.40,8.45,0,10,0.2596,0.98,0.0103,-0.01,0.01,Call,2025-05-16,50.16
43.00,,7.40,7.45,7.50,0,40,0.2683,0.96,0.0183,-0.01,0.01,Call,2025-05-16,50.16
44.00,,6.45,6.50,6.55,0,217,0.2602,0.94,0.0264,-0.01,0.02,Call,2025-05-16,50.16
45.00,5.45,5.55,5.57,5.60,2,140,0.253,0.91,0.0370,-0.01,0.03,Call,2025-05-16,50.16
46.00,4.75,4.60,4.65,4.70,10,183,0.2365,0.88,0.0496,-0.01,0.04,Call,2025-05-16,50.16
47.00,3.86,3.75,3.80,3.85,1,3254,0.2305,0.82,0.0653,-0.02,0.05,Call,2025-05-16,50.16
48.00,2.83,2.93,2.97,3.00,13,2635,0.21600000000000003,0.76,0.0834,-0.02,0.05,Call,2025-05-16,50.16
49.00,2.11,2.19,2.20,2.20,181,1634,0.2018,0.67,0.1029,-0.02,0.06,Call,2025-05-16,50.16
